Date,Return,Cumulative
2010-08-01,0.16377098883665922,1.1637709888366592
2010-09-01,0.08890761707094065,1.2672390942704188
2010-10-01,0.07690535456776135,1.3646965661374142
2010-11-01,0.011917449902198835,1.3809602690960596
2010-12-01,0.036830738672657876,1.4318220558844599
2011-01-01,0.06964205291527913,1.531537083265629
2011-02-01,-0.0069152611286649015,1.5209461044066133
2011-03-01,0.025273869492389626,1.5593862977543442
2011-04-01,-0.008612433989115492,1.5459561862014037
2011-05-01,0.010352274752738389,1.5619603493966563
2011-06-01,-0.04192437691984793,1.4964761349746936
2011-07-01,-0.040976243476613286,1.4351561645110293
2011-08-01,-0.046962808623151,1.3677572002127625
2011-09-01,0.10402801551152403,1.5100422674524945
2011-10-01,0.026786062342204355,1.5504903537678405
2011-11-01,-0.016291914808234942,1.5252298970132647
2011-12-01,0.028324931283756526,1.5684319290380966
2012-01-01,0.0725807205903452,1.6822698486445868
2012-02-01,0.041415454382422306,1.7519418188200513
2012-03-01,-0.018430554737507772,1.7196525592313594
2012-04-01,-0.0859055447744482,1.5719248693078154
2012-05-01,0.04771955231855265,1.6469364203495838
2012-06-01,0.008527011558777192,1.6609798662424757
2012-07-01,0.056020480689118655,1.7540287567643273
2012-08-01,0.020921525785026145,1.7907257146266495
2012-09-01,-0.018316848016657745,1.7579252638723124
2012-10-01,0.03647949375655458,1.822053487560232
2012-11-01,0.04010052765011089,1.8951187938181222
2012-12-01,0.07962192481474115,2.0460117999345115
2013-01-01,0.0031719641885924023,2.052501676093341
2013-02-01,0.04866719885436955,2.152391183312703
2013-03-01,0.005528020666273054,2.1642896462559595
2013-04-01,0.05894101270706724,2.2918550697977063
2013-05-01,-0.022615986087635792,2.2400225074242837
2013-06-01,0.053044960511033815,2.358844412874432
2013-07-01,0.0251781320450228,2.4182357089754487
2013-08-01,0.09524287400705432,2.648555427924757
2013-09-01,0.04152387485984009,2.758533712073255
2013-10-01,0.03153437402204845,2.8455223459022023
2013-11-01,0.03326079462708839,2.940166680256046
2013-12-01,0.05206425102134401,3.093244256341489
2014-01-01,0.06647812348388445,3.2988773299803746
2014-02-01,-0.024019064021656093,3.219641384191986
2014-03-01,-0.036748266109415985,3.1013251458288105
2014-04-01,0.02457404062821066,3.177537235963699
2014-05-01,0.045458594819859,3.321983613698387
2014-06-01,-0.028183844574107785,3.2283573438521787
2014-07-01,0.07334708896638664,3.4651479571669923
2014-08-01,-0.00823911018146492,3.4365982213528152
2014-09-01,0.009171727742664709,3.4681177645999886
2014-10-01,0.0344354548179206,3.5875439771860993
2014-11-01,0.029765345911112084,3.69432846463837
2014-12-01,0.012761768482757336,3.7414746292033447
2015-01-01,0.07550872242206035,4.023988598429041
2015-02-01,0.023067195846020027,4.116810731511155
2015-03-01,-0.025607299458158168,4.011390326296789
2015-04-01,0.08228744637443795,4.341477392658875
2015-05-01,-0.007866196427105654,4.307326478704382
2015-06-01,-0.008200336741668457,4.2720049511227005
2015-07-01,-0.045185795068454666,4.0789710108698465
2015-08-01,-0.043982724342323365,3.8995667532984295
2015-09-01,0.03201460449315728,4.024409840599944
2015-10-01,0.02963400939101766,4.143669239609586
2015-11-01,-0.007518510403996109,4.112515019320863
2015-12-01,-0.06489712498095682,3.8456246181259353
2016-01-01,-0.023908748366687528,3.7536805468184236
2016-02-01,0.07632938117381613,4.040196660081266
2016-03-01,-0.016209246498177215,3.9747081165168963
2016-04-01,0.0528983353634328,4.184963559436166
2016-05-01,0.05806595395946177,4.427967460800411
2016-06-01,0.06919724197498249,4.734370596642766
2016-07-01,-0.02903590985020483,4.596903838801186
2016-08-01,0.02469267782480684,4.7104137042843215
2016-09-01,-0.03169420419030668,4.561120890519915
2016-10-01,0.07273050596140472,4.892853520638562
2016-11-01,0.01975856719535471,4.989529295703127
2016-12-01,0.03937134441567909,5.185973772076376
2017-01-01,0.05954654180927053,5.494780576117102
2017-02-01,-0.0019869632801721715,5.483862648879755
2017-03-01,-1.3323442134566266e-05,5.483789584953079
2017-04-01,0.030575606303060738,5.6514597763514285
2017-05-01,0.01043688835449646,5.710443431077136
2017-06-01,0.0735221827565773,6.130287696637886
2017-07-01,0.06024587884970374,6.4996122665233615
2017-08-01,0.015391518451317494,6.599651168649966
2017-09-01,0.06489649376975237,7.027945389598797
2017-10-01,0.05773820253867662,7.43372632393421
2017-11-01,0.006432791540320726,7.481545935743873
2017-12-01,0.05892195367774539,7.922373238807698
2018-01-01,0.0009491061351134256,7.929892411853309
2018-02-01,0.01913211355511953,8.081608013956767
2018-03-01,0.011353035647360715,8.173358797827214
2018-04-01,0.10744416770575418,9.051538531220263
2018-05-01,0.04288359393707293,9.439701034098881
2018-06-01,0.004553199359966414,9.482681874805614
2018-07-01,0.13551494468953254,10.76772698457833
2018-08-01,0.016933263688643646,10.950059744935519
2018-09-01,-0.14551125687148814,9.356702788632065
2018-10-01,-0.028813238746783886,9.08710587730051
2018-11-01,-0.08046957483834496,8.355870330843112
2018-12-01,0.07431034799927505,8.976797962964882
2019-01-01,0.044470288802947,9.375998760903636
2019-02-01,0.047233065474483235,9.818855924266071
2019-03-01,0.030496065900186636,10.118292401596928
2019-04-01,0.015490248590178146,10.275027266205777
2019-05-01,0.0914184730387402,11.21435456931373
2019-06-01,0.07138712970567458,12.014915153518753
2019-07-01,0.023478108740264653,12.297002637998121
2019-08-01,-0.03991141544949722,11.806211856929414
2019-09-01,0.005496971477606994,11.87111026676554
2019-10-01,0.05514792961675219,12.525777420229831
2019-11-01,0.04192539611572965,13.050925600230428
